C_m_delta_e	U_0	rho	st	c	I_y	C_z_delta_e	m	kp	ki	kd
-1.32650000000000	49.4088176352705	1.29000000000000	0.252505010020040	0.355711422845691	0.170000000000000	-3.56500000000000	9242.48496993988	1.51000000000000	2.31000000000000	0.0600000000000000
-1.32650000000000	62.1062124248497	1.29000000000000	0.322645290581162	0.270941883767535	0.170000000000000	-3.56500000000000	4661.32264529058	1.05000000000000	1.01000000000000	0.0100000000000000
-1.32650000000000	9.13426853707415	1.29000000000000	0.591182364729459	0.445891783567134	0.170000000000000	-3.56500000000000	5977.95591182365	3.51000000000000	5.06000000000000	1.01000000000000
-1.32650000000000	30.5611222444890	1.29000000000000	0.897795591182365	0.408016032064128	0.170000000000000	-3.56500000000000	7979.95991983968	4.66000000000000	16.8600000000001	1.01000000000000
-1.32650000000000	60.3206412825651	1.29000000000000	0.557114228456914	0.184368737474950	0.170000000000000	-3.56500000000000	5923.84769539078	1.05000000000000	1.26000000000000	0.0100000000000000
-1.32650000000000	99.2064128256513	1.29000000000000	0.482965931863727	0.358416833667335	0.170000000000000	-3.56500000000000	5328.65731462926	1.01000000000000	3.06000000000000	0.0100000000000000
-1.32650000000000	75.0020040080160	1.29000000000000	0.210420841683367	0.161823647294589	0.170000000000000	-3.56500000000000	1865.73146292585	1.51000000000000	1.26000000000000	0.0600000000000000
-1.32650000000000	71.2324649298597	1.29000000000000	0.855711422845691	0.405310621242485	0.170000000000000	-3.56500000000000	7691.38276553106	1.06000000000000	3.96000000000000	0.0100000000000000
-1.32650000000000	11.3166332665331	1.29000000000000	0.521042084168337	0.431462925851703	0.170000000000000	-3.56500000000000	8593.18637274549	6.20999999999999	4.61000000000000	1.01000000000000
-1.32650000000000	38.2985971943888	1.29000000000000	0.272545090180361	0.105911823647295	0.170000000000000	-3.56500000000000	7222.44488977956	5.55999999999999	7.86000000000000	1.01000000000000
-1.32650000000000	55.9559118236473	1.29000000000000	0.00801603206412826	0.237575150300601	0.170000000000000	-3.56500000000000	4949.89979959920	2.50000000000000	1.06000000000000	1.01000000000000
-1.32650000000000	78.7715430861723	1.29000000000000	0.829659318637275	0.315130260521042	0.170000000000000	-3.56500000000000	2280.56112224449	1.01000000000000	3.01000000000000	0.0100000000000000
-1.32650000000000	59.7254509018036	1.29000000000000	0.727454909819639	0.242985971943888	0.170000000000000	-3.56500000000000	2893.78757515030	1.10000000000000	2.01000000000000	0.0100000000000000
-1.32650000000000	27.1883767535070	1.29000000000000	0.993987975951904	0.266432865731463	0.170000000000000	-3.56500000000000	8448.89779559118	4.56000000000000	15.2100000000000	1.01000000000000
-1.32650000000000	60.7174348697395	1.29000000000000	0.817635270541082	0.480160320641283	0.170000000000000	-3.56500000000000	6861.72344689379	1.05000000000000	2.61000000000000	0.0100000000000000
-1.32650000000000	63.0981963927856	1.29000000000000	0.647294589178357	0.0779559118236473	0.170000000000000	-3.56500000000000	9458.91783567134	1.15000000000000	1.01000000000000	0.0100000000000000
